subj	cond	item	value	region	Xstart	Xend	Ystart	Yend	fixationtype	order	questionRT	questionAcc
013	21	80	0	2	14	20	0	0	rr	77	NA	NA
013	21	80	222	2	14	20	0	0	tt	77	NA	NA
013	21	80	192	3	20	48	0	0	ff	77	NA	NA
013	21	80	772	3	20	48	0	0	fp	77	NA	NA
013	21	80	772	3	20	48	0	0	rp	77	NA	NA
013	21	80	0	3	20	48	0	0	pr	77	NA	NA
013	21	80	0	3	20	48	0	0	rr	77	NA	NA
013	21	80	772	3	20	48	0	0	tt	77	NA	NA
013	21	92	289	1	0	15	0	0	ff	91	NA	NA
013	21	92	1867	1	0	15	0	0	fp	91	NA	NA
013	21	92	1867	1	0	15	0	0	rp	91	NA	NA
013	21	92	0	1	0	15	0	0	pr	91	NA	NA
013	21	92	226	1	0	15	0	0	rr	91	NA	NA
013	21	92	2093	1	0	15	0	0	tt	91	NA	NA
013	21	92	NA	2	15	21	0	0	ff	91	NA	NA
013	21	92	NA	2	15	21	0	0	fp	91	NA	NA
013	21	92	NA	2	15	21	0	0	rp	91	NA	NA
013	21	92	NA	2	15	21	0	0	pr	91	NA	NA
013	21	92	NA	2	15	21	0	0	rr	91	NA	NA
013	21	92	NA	2	15	21	0	0	tt	91	NA	NA
013	21	92	216	3	21	59	0	0	ff	91	NA	NA
013	21	92	774	3	21	59	0	0	fp	91	NA	NA
013	21	92	1680	3	21	59	0	0	rp	91	NA	NA
013	21	92	1	3	21	59	0	0	pr	91	NA	NA
013	21	92	506	3	21	59	0	0	rr	91	NA	NA
013	21	92	1280	3	21	59	0	0	tt	91	NA	NA
013	24	79	15	1	0	17	0	0	ff	101	NA	NA
013	24	79	267	1	0	17	0	0	fp	101	NA	NA
013	24	79	407	1	0	17	0	0	rp	101	NA	NA
013	24	79	0	1	0	17	0	0	pr	101	NA	NA
013	24	79	464	1	0	17	0	0	rr	101	NA	NA
013	24	79	731	1	0	17	0	0	tt	101	NA	NA
013	24	79	212	2	17	24	0	0	ff	101	NA	NA
013	24	79	212	2	17	24	0	0	fp	101	NA	NA
013	24	79	212	2	17	24	0	0	rp	101	NA	NA
013	24	79	0	2	17	24	0	0	pr	101	NA	NA
013	24	79	122	2	17	24	0	0	rr	101	NA	NA
013	24	79	334	2	17	24	0	0	tt	101	NA	NA
013	24	79	192	3	24	50	0	0	ff	101	NA	NA
013	24	79	192	3	24	50	0	0	fp	101	NA	NA
013	24	79	1688	3	24	50	0	0	rp	101	NA	NA
013	24	79	1	3	24	50	0	0	pr	101	NA	NA
013	24	79	910	3	24	50	0	0	rr	101	NA	NA
013	24	79	1102	3	24	50	0	0	tt	101	NA	NA
013	21	84	488	1	0	16	0	0	ff	105	NA	NA
013	21	84	488	1	0	16	0	0	fp	105	NA	NA
013	21	84	488	1	0	16	0	0	rp	105	NA	NA
013	21	84	0	1	0	16	0	0	pr	105	NA	NA
013	21	84	226	1	0	16	0	0	rr	105	NA	NA
013	21	84	714	1	0	16	0	0	tt	105	NA	NA
013	21	84	NA	2	16	21	0	0	ff	105	NA	NA
013	21	84	NA	2	16	21	0	0	fp	105	NA	NA
013	21	84	NA	2	16	21	0	0	rp	105	NA	NA
013	21	84	NA	2	16	21	0	0	pr	105	NA	NA
013	21	84	72	2	16	21	0	0	rr	105	NA	NA
013	21	84	72	2	16	21	0	0	tt	105	NA	NA
013	21	84	404	3	21	50	0	0	ff	105	NA	NA
013	21	84	404	3	21	50	0	0	fp	105	NA	NA
013	21	84	1028	3	21	50	0	0	rp	105	NA	NA
013	21	84	1	3	21	50	0	0	pr	105	NA	NA
013	21	84	326	3	21	50	0	0	rr	105	NA	NA
013	21	84	730	3	21	50	0	0	tt	105	NA	NA
013	23	86	382	1	0	17	0	0	ff	111	NA	NA
013	23	86	382	1	0	17	0	0	fp	111	NA	NA
013	23	86	382	1	0	17	0	0	rp	111	NA	NA
013	23	86	0	1	0	17	0	0	pr	111	NA	NA
013	23	86	60	1	0	17	0	0	rr	111	NA	NA
013	23	86	442	1	0	17	0	0	tt	111	NA	NA
013	23	86	356	2	17	23	0	0	ff	111	NA	NA
013	23	86	356	2	17	23	0	0	fp	111	NA	NA
013	23	86	416	2	17	23	0	0	rp	111	NA	NA
013	23	86	1	2	17	23	0	0	pr	111	NA	NA
013	23	86	124	2	17	23	0	0	rr	111	NA	NA
013	23	86	480	2	17	23	0	0	tt	111	NA	NA
013	23	86	174	3	23	51	0	0	ff	111	NA	NA
013	23	86	620	3	23	51	0	0	fp	111	NA	NA
013	23	86	744	3	23	51	0	0	rp	111	NA	NA
013	23	86	1	3	23	51	0	0	pr	111	NA	NA
013	23	86	0	3	23	51	0	0	rr	111	NA	NA
013	23	86	620	3	23	51	0	0	tt	111	NA	NA
013	23	74	204	1	0	17	0	0	ff	113	NA	NA
013	23	74	204	1	0	17	0	0	fp	113	NA	NA
